type_ownership;cod_building;Nome Edificio;Descrizione Edificio;Indirizzo;city;type_property
EDI;IT061022000217;Struttura Annonaria;STRUTTURA MERCATALE;v.le Ellittico;061022;Proprietà
EDI;IT061022000218;ufficio;EX SCUOLA ELEMENTARE;Via Falluti;061022;Proprietà
EDI;IT061022000219;ufficio;EX SCUOLA MATERNA ;Via Barducci;061022;Proprietà
EDI;IT061022000220;negozi;IMMOBILE (Interculturale);Via Mazzini;061022;Proprietà
EDI;IT061022000221;;EX ORFANOT. S.ANTONIO;Via S. Antonio;061022;Proprietà
EDI;IT061022000222;uffcio;CIVILE ABITAZIONE P.T.;Via Cilea - Centurano;061022;Proprietà
EDI;IT061022000223;ufficio;CIVILE ABITAZIONE 1°PIANO;Via Cilea - Centurano;061022;Proprietà
EDI;IT061022000224;ufficio;IMMOBILE (Comit. Quartiere);P.zza Cavour;061022;Proprietà
EDI;IT061022000225;Deposito;IMMOBILE;V.le  Lincoln;061022;Proprietà
EDI;IT061022000226;negozio;CHIOSCO (Lato via Mazzini);P.zza Vanvitelli;061022;Proprietà
EDI;IT061022000227;negozio;CHIOSCO (Lato C.so Giannone);P.zza Vanvitelli;061022;Proprietà
EDI;IT061022000228;delegazione;UFFICIO;Via D'Aquino;061022;Proprietà
EDI;IT061022000229;delegazione;UFFICIO;Via Giaquinto - Casolla;061022;Proprietà
EDI;IT061022000230;ex delegazione;UFFICIO;Via Grassi - Briano;061022;Proprietà
EDI;IT061022000231;delegazione;UFFICIO;Via Galatina - S.Clemente;061022;Proprietà
EDI;IT061022000232;imp. Industriale;FORO BOARIO e MACELLO;V.le Edison;061022;Proprietà
EDI;IT061022000233;n.2 Vani P.T.+Stalla ;IMMOBILE IN PRESENZANO;Via Amendola n.27/28/35;061022;Proprietà
EDI;IT061022000234;piano rialzato;IMMOBILE (EX C.I.F.);Via Tescione n.104/6;061022;Proprietà
EDI;IT061022000235;;QUOTE n.2 APPARTAMENTI;Via Lupoli ;061022;Proprietà
EDI;IT061022000236;;CANTINOLE-DEPOSITI;Via Ruta 46;061022;Proprietà
EDI;IT061022000237;;S.MARIA MACERATA;Via Appia;061022;Proprietà
EDI;IT061022000238;Inagibile;DEPOSITO EX CAS. SANDUIA;V.le Carlo III;061022;Proprietà
EDI;IT061022000239;;EX SCUOLA MATERNA ;Via Rossi Sommana;061022;Proprietà
EDI;IT061022000240;;EX SCUOLA VANVITELLI;Via Collecini;061022;Proprietà
INF;IT061022000001;immobile INF-1;STADIO COMUNALE PINTO;VIALE MEDAGLIE D'ORO;061022;Proprietà
INF;IT061022000002;immobile INF-2;CAMPO SPORT, S. COMMAIA;VIA SALVATORE COMMAIA;061022;Proprietà
INF;IT061022000003;immobile INF-3;STADIO DEL BASEBALL;VIA GALATINA - S. CLEMENTE;061022;Proprietà
INF;IT061022000004;immobile INF-4;PISCINA DENNERLEIN;CORSO GIANNONE;061022;Proprietà
INF;IT061022000005;immobile INF-5;TENNIS CLUB;VIA LAVIANO;061022;Proprietà
INF;IT061022000006;immobile INF-6;CAMPO NIKE;VIA G. M. BOSCO;061022;Proprietà
INF;IT061022000007;immobile INF-7;"PLAY GROUND ""NANDO GENTILE"" ";VIA G. M. BOSCO;061022;Proprietà
INF;IT061022000008;immobile INF-8;CAMPO DI CALCETTO;VIA MONTAGNA;061022;Proprietà
INF;IT061022000009;immobile INF-9;CAMPO DI CALCETTO;VIA EINAUDI;061022;Proprietà
INF;IT061022000010;immobile INF-10;CAMPI DI CALCETTO IPERION;VIA S. AUGUSTO;061022;Proprietà
INF;IT061022000011;immobile INF-11;CAMPO SPORTIVO TALAMONTI;VIA TALAMONTI;061022;Proprietà
INF;IT061022000012;immobile INF-12;CAMPO SPORT. POLIVAL.;TUORO;061022;Proprietà
INF;IT061022000013;immobile INF-13;I CIRCOLO DIDATT. DE AMICIS;CORSO GIANNONE;061022;Proprietà
INF;IT061022000014;immobile INF-14;II CIRCOLO DIDATT. RADICE;VIA ROMA;061022;Proprietà
INF;IT061022000015;immobile INF-15;III CIRCOLO DIDATT. KENNEDY;VIA KENNEDY;061022;Proprietà
INF;IT061022000016;immobile INF-16;IV CIRCOLO DIDATT. LORENZINI;VIALE CAPPIELLO;061022;Proprietà
INF;IT061022000017;immobile INF-17;SC. MED. D. ALIGHIERI;VIALE MEDAGLIE D'ORO;061022;Proprietà
INF;IT061022000018;immobile INF-18;SC. MED. UNGARETTI;P.CO DEGLI ARANCI ;061022;Proprietà
INF;IT061022000019;immobile INF-19;IMP. SPOTIVO PALAVIGNOLA;V.LE LAMBERTI;061022;Proprietà
INF;IT061022000020;immobile INF-20;PAL. GINNASTICA ARTISTICA;TUORO;061022;Proprietà
INF;IT061022000021;immobile INF-21;IMP. SPOTIVO FEUD.S.MARTINO;CASERTA;061022;Proprietà
TER;IT061022000114;Area a Verde Pubblico;VILLETTA  PADRE  PIO;Via Settembrini - Caserta;061022;Proprietà
TER;IT061022000115;Area a Verde Pubblico;VILLA P.CO DEL CORSO;C.so Trieste - Caserta;061022;Proprietà
TER;IT061022000116;Area a Verde Pubblico;VILLA COMUNALE;P.zza Vanvitelli - Caserta;061022;Proprietà
TER;IT061022000117;Area a Verde Pubblico;VILLETTA VIA AMATO;Via Amato;061022;Proprietà
TER;IT061022000118;Terreno ;TERRENO - EX DEPOSITO ;Zona Cimitero;061022;Proprietà
TER;IT061022000119;Area a Verde Pubblico;VILLA COMUNALE;Via Galilei ang. Via S.Carlo;061022;Proprietà
TER;IT061022000120;Area a Verde Pubblico;VILLETTA IN CASOLLA;Via De Renzis - P.zza Ricca;061022;Proprietà
TER;IT061022000121;Area a Verde Pubblico;VILLETTA MEZZANO;Via Parrocchia;061022;Proprietà
TER;IT061022000122;Area a Verde Pubblico;VILLETTA P.CO DEGLI ARANCI;Via Del Gelsomino;061022;Proprietà
TER;IT061022000123;Area a Verde Pubblico;VILLETTA P.CO CERASOLE;Via E. Laracca;061022;Proprietà
TER;IT061022000124;Area a Verde Pubblico;VILLETTA P:CO CERASOLE;Via Rossini;061022;Proprietà
TER;IT061022000125;Area a Verde Pubblico;VILLETTA BOTTEGHELLE;Via Fusco - Iannelli;061022;Proprietà
TER;IT061022000126;Area a Verde Pubblico;VILLETTA PITESTI;P.zza Pitesti ;061022;Proprietà
TER;IT061022000127;Area a Verde Pubblico;VILLETTA GEMITO;Via Gemito;061022;Proprietà
TER;IT061022000128;Area a Verde Pubblico;VILLETTA CATTANEO;P.zza Cattaneo;061022;Proprietà
TER;IT061022000129;Area a Verde Pubblico;VILLETTA TRENTO;Via Trento;061022;Proprietà
TER;IT061022000130;Area a Verde Pubblico;VILLETTA AVELLINO;Via Avellino;061022;Proprietà
TER;IT061022000131;Area a Verde Pubblico;VILLETTA DALLA CHIESA;P.zza Gen.Dalla Chiesa;061022;Proprietà
TER;IT061022000132;Area a Verde Pubblico;VILLETTA SALVO D'ACQUISTO;Via Buozzi;061022;Proprietà
TER;IT061022000133;Area a Verde Pubblico;VILLETTA NICOLA ZUPPA;Via Parrocchia - Tuoro;061022;Proprietà
TER;IT061022000134;Area a Verde Pubblico;VILLETTA VACCHERIA;Via R. Cappucio-Via Dosello;061022;Proprietà
TER;IT061022000135;Area a Verde Pubblico;VILLETTA S. LEUCIO;Giardini a Nord p.zza Belved.;061022;Proprietà
TER;IT061022000136;Area a Verde Pubblico;VILLETTA S. LEUCIO;Giardini a Nord p.zza Belved.;061022;Proprietà
TER;IT061022000137;Area a Verde Pubblico;VILLETTA S. LEUCIO;Giardini a Nord p.zza Belved.;061022;Proprietà
TER;IT061022000138;Area a Verde Pubblico;VILLETTA S. LEUCIO;Giardini a Est p.zza Belved.;061022;Proprietà
TER;IT061022000139;Area a Verde Pubblico;TERRENO;Giardini a Est p.zza Belved.;061022;Proprietà
TER;IT061022000140;Area a Verde Pubblico;TERRENO;Giardini a Est Via Planelli.;061022;Proprietà
TER;IT061022000141;Area a Verde Pubblico;TERRENO;Giardini a Est Via Planelli;061022;Proprietà
TER;IT061022000142;Area a Verde Pubblico;AREA A VERDE E PORTICATO;P.zza IV Novembre;061022;Proprietà
TER;IT061022000143;Area a Verde Pubblico;TERRENO;Giardini a Est via Planelli ;061022;Proprietà
TER;IT061022000144;Area a Verde Pubblico;TERRENO;Giardini a Ovest via Planelli ;061022;Proprietà
TER;IT061022000145;Area a Verde Pubblico;TERRENO;Giardini a Ovest via Planelli ;061022;Proprietà
TER;IT061022000146;Area a Verde Pubblico;TERRENO;Giardini a Ovest via Planelli ;061022;Proprietà
TER;IT061022000147;Terreno;TERRENO;A nord  via Giardini Reali;061022;Proprietà
TER;IT061022000148;Terreno;TERRENO;A nord  via Vaccheria;061022;Proprietà
TER;IT061022000149;Isola Ecologica;AREA;Via Cappuccini;061022;Proprietà
TER;IT061022000150;Isola Ecologica;AREA;Via Talamonti;061022;Proprietà
TER;IT061022000151;Isola Ecologica;AREA;V.le Lincoln II tratto;061022;Proprietà
TER;IT061022000152;Cisterne Acquedotto;TERRENI;Pied. Di Casolla;061022;Proprietà
TER;IT061022000153;Videosorveglianza;TERRENO CASERTAVECCHIA;Loc.S. Rocco-Teglia;061022;Proprietà
TER;IT061022000154;Pineta;TERRENO CASERTAVECCHIA;Via Della Pineta;061022;Proprietà
TER;IT061022000155;Area Pubblica;TERRENO ;R.ne Vanvitelli;061022;Proprietà
TER;IT061022000156;Area Pubblica;AREA MERCATINO;Via Ruggiero ;061022;Proprietà
TER;IT061022000157;Ex Mercatino;TERRENO;V.le Ellittico ;061022;Proprietà
TER;IT061022000158;Fiera Bisettimanale;AREA MERCATALE;Via Ruta;061022;Proprietà
TER;IT061022000159;;TERRENO TREDICI;Strada;061022;Proprietà
TER;IT061022000160;Area a Verde Pubblico;AREA P.ZZA AMICO;Via Roma - Via C. Battisti  ;061022;Proprietà
TER;IT061022000161;Aree Pubbliche;AREE LATERALI;Via Borsellino;061022;Proprietà
TER;IT061022000162;Area Pubblica;PASSAGGIO NATTA;L.go Quintavalle-P.zza Quasim.;061022;Proprietà
TER;IT061022000163;Arae a aVerde;TERRENO ;Via Catauli Briano ;061022;Proprietà
TER;IT061022000164;Monumento;AREA MONUMENTALE;Via Quercione Briano;061022;Proprietà
TER;IT061022000165;Area a Verde Pubblico;VILLETTA S. ANTIDA;Via S. Antida;061022;Proprietà
TER;IT061022000166;Area Pubblica;TERRENO S.BARBARA;P.zza S.Quasimodo ;061022;Proprietà
TER;IT061022000167;Area a Verde Pubblico;TERRENO BRIANO;Via Grassi Adiac.ex Delegaz.;061022;Proprietà
TER;IT061022000168;Area a Verde Pubblico;VILLETTA ;P.zza Po;061022;Proprietà
TER;IT061022000169;Area a Verde Pubblico;VILLETTA M. Carolina;V.le Ellittico ;061022;Proprietà
TER;IT061022000170;Area a Verde Pubblico;VILLETTA PUCCIANIELLO;Via Concezione;061022;Proprietà
TER;IT061022000171;Area a Verde Pubblico;VILLETTA B.V. LOURDES;Via Golgi - Largo Quintavalle;061022;Proprietà
TER;IT061022000172;camp. di basket;AREA VERDE;Via Grassi Adiac.ex Delegaz.;061022;Proprietà
TER;IT061022000173;Area a Verde Pubblico;VILLETTA COLLI TIFATA;Via Tifatina S. Barbara;061022;Proprietà
TER;IT061022000174;Area a Verde Pubblico;VILLETTA MART. VIA DAMELIO;Via Agnesi;061022;Proprietà
TER;IT061022000175;Area a Verde;VILLETTA;Caserta v.le Beneduce;061022;Proprietà
TER;IT061022000176;Terreno;TERRENO CASERM.SANDUIA;Via Appia Vle Carlo III;061022;Proprietà
TER;IT061022000177;Area a Verde Pubblico;VILLETTA;V.le Ellittico ;061022;Proprietà
TER;IT061022000178;Area Pubblica;AREA A VERDE;Via dei Ginepre;061022;Proprietà
TER;IT061022000179;Area a Verde;VILLETTA VACCHERIA;Via R. Cappuccio;061022;Proprietà
TER;IT061022000180;Cortile;AREA PUBBLICA;P.zza Madonna delle Grazie;061022;Proprietà
TER;IT061022000181;Terrazza - Belvedere;TERRAZZA;Casino Vecchio;061022;Proprietà
TER;IT061022000182;Orto Irriguo;GIARDINI;Belvedere S. Leucio;061022;Proprietà
TER;IT061022000183;Agrumeto;TERRENO;Belvedere S. Leucio;061022;Proprietà
TER;IT061022000184;Verde Pubblico;AREA A VERDE;Viale Degli Aranci ;061022;Proprietà
TER;IT061022000185;Serbatoio + Strada;TERRENO Loc. Montone;Casertavecchia;061022;Proprietà
TER;IT061022000186;Caserma Polizia Stradale;TERRENO ;Caserta Via delle Ville;061022;Proprietà
TER;IT061022000187;Seminativo;TERRENO;Belvedere S. Leucio;061022;Proprietà
TER;IT061022000188;;VILLETTA R.ne Acquaviva;Caserta  Via Arno;061022;Proprietà
TER;IT061022000189;Slargo Adiacente FF.SS;TERRENO;Via delle Camelie;061022;Proprietà
TER;IT061022000190;Confiscati Crim.Organiz.;TERRENI ;Loc. Vaccheria conf. Castel. M.;061022;Proprietà
TER;IT061022000191;;FONDI PASCOLATORI;Vaccheria;061022;Proprietà
TER;IT061022000192;Area a Verde Pubblico;AREA VERDE;Via Mendel;061022;Proprietà
TER;IT061022000193;;CAMPO CALCETTO;Via F. S. Martino;061022;Proprietà
TER;IT061022000241;immobile PDT-1;EX S.ANTIDE MARCIANISE;Loc. Fondo Laudini;061022;Proprietà
TER;IT061022000242;immobile PDT-2;EX S.ANTIDE S.MARCO EV.;Loc. S. Marco;061022;Proprietà
TER;IT061022000243;immobile PDT-3;TERRENO;Loc. Gradilli;061022;Proprietà
TER;IT061022000244;immobile PDT-4;FONDO S. MARIA MACERATA;Loc. S. Clemente;061022;Proprietà
TER;IT061022000245;immobile PDT-5;FONDO S. MARIA MACERATA;Loc. S. Clemente;061022;Proprietà
TER;IT061022000246;immobile PDT-6;TERRENO;Com.Capua- loc. Monte Rocca;061022;Proprietà
TER;IT061022000247;immobile PDT-7;TERRENO;Com.Capua- loc. Monte Rocca;061022;Proprietà
TER;IT061022000248;immobile PDT-8;TERRENO;Com.Capua- loc. Monte Rocca;061022;Proprietà
TER;IT061022000249;immobile PDT-9;TERRENO;Com.Capua- loc. Monte Rocca;061022;Proprietà
TER;IT061022000250;immobile PDT-10;TERRENO;Com.Capua- loc.Monte Rocca;061022;Proprietà
TER;IT061022000251;immobile PDT-11;TERRENO;Com.Capua- loc.Monte Rocca;061022;Proprietà
TER;IT061022000252;immobile PDT-12;TERRENO;S.Leucio - Panoramica;061022;Proprietà
TER;IT061022000253;immobile PDT-13;TERRENO;S.Leucio - Panoramica;061022;Proprietà
TER;IT061022000254;immobile PDT-14;TERRENO ;Garzano - Casa delle Brecce;061022;Proprietà
TER;IT061022000255;immobile PDT-15;TERRENO;Garzano - Casa delle Brecce;061022;Proprietà
TER;IT061022000256;immobile PDT-16;TERRENO;Via Graffer (Viabilandia);061022;Proprietà
TER;IT061022000257;immobile PDT-17;TERRENO MONTE MAINO;Pozzovetere;061022;Proprietà
TER;IT061022000258;immobile PDT-18;TERRENO MONTE MAINO;Pozzovetere;061022;Proprietà
TER;IT061022000259;immobile PDT-19;TERRENO;Pozzovetere;061022;Proprietà
TER;IT061022000260;immobile PDT-20;TERRENO S.AGNOLO;Pozzovetere;061022;Proprietà
