type_ownership;cod_building;Nome Edificio;Descrizione Edificio;Indirizzo;id_building;type_property;city
TER;IT054009000091;LUNGOLAGO (AREA INCROCIO TRA VIA LUNGOLAGO E VIA DEL POZZINO);TERRENO PARTICELLA 420  CHE DIVIDE PROPRIETA  COMUNALE E  DI UN PRIVATO;Via Lungolago Castiglione del Lago;2233516;Proprietà;054009
TER;IT054009000096;AREA VERDE PRESSO LIDO COMUNALE;TERRENO ALCUNE PARTICELLE DI PROPRIETA  PRIVATA  FABBRICATI DEMOLITI INDICATI NEL CATASTO;Viale Div.Part. Brig.Garibaldi Castiglione del Lago;2233521;Proprietà;054009
TER;IT054009000097;LUNGOLAGO AREA EX POTABILIZZATORE;TERRENO E FABBRICATO PROPRIETARIO DEL FABBRICATO E COMPROPRIETARIO DEL TERRENO;Via Lungolago Castiglione del Lago;2233522;Proprietà;054009
TER;IT054009000101;AREE PUBBLICHE PRESSO LOTTIZZAZIONE (N.84);TERRENO PARTICELLE 636637638 IN FASE DI ACQUISIZIONE;Via XXVIII Giugno Casamaggiore;2233526;Proprietà;054009
TER;IT054009000103;TERRENO INCOLTO;TERRENO ;Loc. Vitellino;2233528;Proprietà;054009
TER;IT054009000104;AREE PUBBLICHE PRESSO LOTTIZZAZIONE (N.23);TERRENO FORSE CI SONO ALTRE AREE PUBBLICHE DA ACQUISIRE NELLA LOTTIZZAZIONE ;Loc. Bagnolo-Soccorso;2233529;Proprietà;054009
TER;IT054009000105;PORZIONE DI AREA VERDE                                E INCROCIO DI VIA DELLA STAZIONE;TERRENO ;Via della Stazione Castiglione del Lago;2233530;Proprietà;054009
TER;IT054009000110;TERRENO E TRATTO STRADALE;TERRENO ;Via Novella                                    Castiglione del Lago;2233535;Proprietà;054009
TER;IT054009000112;AREE PUBBLICHE PRESSO LOTTIZZAZIONE (N.15-58);TERRENO ;Via Mameli          Castiglione del Lago;2233537;Proprietà;054009
TER;IT054009000113;AREA VERDE;TERRENO ;Via Amendola                      Castiglione del Lago;2233538;Proprietà;054009
TER;IT054009000115;AREE PUBBLICHE PRESSO LOTTIZZAZIONE (N.64);TERRENO PARTICELLA N.1169 PRESSO INCROCIO CON VIA ALDO MORO NON ACQUISITA;Via Sandro Pertini Castiglione del Lago;2233540;Proprietà;054009
TER;IT054009000119;PRATO;TERRENO ;Viale Div.Part. Brig.Garibaldi Castiglione del Lago;2233544;Proprietà;054009
TER;IT054009000120;RELITTO STRADALE;TERRENO PARTICELLE 546547 SONO RELITTO STRADALE MA SENZA PROPRIETARIO;Loc. Binami;2233545;Proprietà;054009
TER;IT054009000124;AREA VERDE;TERRENO ;Loc. San Lorenzo    Gioiella;2233549;Proprietà;054009
TER;IT054009000126;CROSSODROMO                                                               E PRATO  PARCHEGGIO;TERRENO E FABBRICATI PARTICELLE 187188 PROPRIETA  SUPERFICIARIA DI CARTESIO ENERGIA S.R.L.;Gioiella;2233551;Proprietà;054009
TER;IT054009000131;PRATO;TERRENO ;Gioiella;2233556;Proprietà;054009
TER;IT054009000136;RELITTO STRADALE;TERRENO ALL INTERNO DI GIARDINO PROPRIETA  PRIVATA;Loc. Frattavecchia;2233561;Proprietà;054009
TER;IT054009000139;RELITTO STRADALE E TRATTO DI SVINCOLO STRADALE ;TERRENO ;Loc. Cascina;2233564;Proprietà;054009
TER;IT054009000144;RELITTO STRADALE;TERRENO TRATTO DEVIATO NON ACQUISITO;Loc. Cappannelle            Porto;2233569;Proprietà;054009
TER;IT054009000148;AREA LIMITROFA LAVATOIO,                  BOSCHETTO E TERRENO COLTIVATO;TERRENO ;Badia;2233573;Proprietà;054009
TER;IT054009000151;AREA VERDE;TERRENO ;Badia;2233576;Proprietà;054009
TER;IT054009000152;RELITTO STRADALE;TERRENO ;Badia;2233577;Proprietà;054009
TER;IT054009000156;AREE PUBBLICHE PRESSO LOTTIZZAZIONE 'LA PIAGGIOLA' (N.5);TERRENO FRAZIONAMENTO DI UNA PORZIONE NON RIPORTATO NEL MOSAICO CATASTO;Via C. Colombo  Pucciarelli;2233581;Proprietà;054009
TER;IT054009000157;TERRENO COLTIVATO ;TERRENO FRAZIONAMENTO PER SPOSTAMENTO TRACCIATO STRADA VICINALE  NON REALIZZATO  DA VIA DELLA REPUBBLICA A STRADA VICINALE DEL POGGETTO;Via della Repubblica  Pucciarelli;2233582;Proprietà;054009
TER;IT054009000161;AREE PUBBLICHE PRESSO LOTTIZZAZIONE 'LACAIOLI' (N.34);TERRENO FORSE CI SONO ALTRE AREE PUBBLICHE DA ACQUISIRE NELLA LOTTIZZAZIONE ;Via C. Colombo  Pucciarelli;2233586;Proprietà;054009
TER;IT054009000163;AREE PUBBLICHE PRESSO LOTTIZZAZIONE (N.70);TERRENO ;Via Marco Polo Pucciarelli;2233588;Proprietà;054009
TER;IT054009000164;AREA VERDE;TERRENO ;Via Belveduto Sanfatucchio;2233589;Proprietà;054009
TER;IT054009000167;PERTINENZE EDIFICI, TERRENO COLTIVATO E TRATTO DI VIA LIGURIA;TERRENO ;Via Liguria      Sanfatucchio;2233592;Proprietà;054009
TER;IT054009000171;TERRENO E ANNESSI;TERRENO E FABBRICATI SEMBRA SIA RICOMPRESO IN GIARDINO PRIVATO;Via Trentino   Via del Giglio  Sanfatucchio;2233596;Proprietà;054009
TER;IT054009000173;STRADA E AREA VERDE PRESSO AREA INDUSTRIALE ;TERRENO ;Loc. Lacaioli        Pucciarelli;2233598;Proprietà;054009
TER;IT054009000175;EX-TRACCIATO STRADALE, SPOSTATO ;TERRENO NUOVO TRACCIATO NON FRAZIONATO;Via Romea                               Loc. Carraia;2233600;Proprietà;054009
TER;IT054009000176;TERRENO INCOLTO;TERRENO ;Via Romea                                  Loc. Carraia;2233601;Proprietà;054009
TER;IT054009000186;EX-TRACCIATO STRADALE, SPOSTATO ;TERRENO NUOVO TRACCIATO FRAZIONATO, MA NON ACQUISITO;Loc. Poggio del Sole    Loc. Bracacci ;2233611;Proprietà;054009
TER;IT054009000189;AREE PUBBLICHE PRESSO LOTTIZZAZIONE (N.54);TERRENO CI SONO ALTRE AREE DA ACQUISIRE;Loc. Pineta ;2233614;Proprietà;054009
TER;IT054009000190;TERRENO IN PROSSIMITA' DEL SOTTOPASSAGGIO;TERRENO ;Loc. Colonnetta Sanfatucchio;2233615;Proprietà;054009
TER;IT054009000194;TERRENO INCOLTO;TERRENO ADIACENTE EX TRACCIATO STRADALE;Via Romea                                 Loc. Carraia;2233619;Proprietà;054009
TER;IT054009000197;SEMINATIVO ARBOREO;TERRENO ;Via Trasimeno       Panicarola;2233622;Proprietà;054009
TER;IT054009000206;TERRENO (ESTERNO RECINZIONE CAMPO SPORTIVO);TERRENO ;Campo sportivo Villastrada ;2233631;Proprietà;054009
TER;IT054009000213;AREE PUBBLICHE PRESSO LOTTIZZAZIONE (N.14);TERRENO ;Via Ugo Foscolo                Macchie;2233638;Proprietà;054009
TER;IT054009000214;AREE PUBBLICHE PRESSO LOTTIZZAZIONE 'PEEP MACCHIE' (N.6);TERRENO PARTICELLE LIMITROFE DOVREBBERO ESSERE DI PROPRIETA  COMUNALE MA NON RISULTANO;Via Petrarca                    Macchie;2233639;Proprietà;054009
TER;IT054009000218;AREE PUBBLICHE PRESSO LOTTIZZAZIONE (N.14);TERRENO ;Via Verga                 Macchie;2233643;Proprietà;054009
TER;IT054009000219;TERRENO;TERRENO MICROPARTICELLA IN MEZZO A PROPRIETA  PRIVATE;Via Verga                 Macchie;2233644;Proprietà;054009
TER;IT054009000221;EX TRACCIATO STRADALE;TERRENO NUOVO TRACCIATO GIA  FRAZIONATO;Loc. Val del Sasso    Le Coste ;2233646;Proprietà;054009
