type_ownership;cod_building;Nome Edificio;Descrizione Edificio;Indirizzo;id_building;city;type_property
EDI;IT042023000039;Alloggio Maiolati Spontini;Alloggio Maiolati Spontini;Via Marconi, 7;2233658;042023;Proprietà
EDI;IT042023000041;Alloggio Maiolati Spontini;Alloggio Maiolati Spontini;Via Marconi, 17;2233660;042023;Proprietà
EDI;IT042023000042;Alloggio Maiolati Spontini;Alloggio Maiolati Spontini;Via Santa Liberata, 7;2233661;042023;Proprietà
EDI;IT042023000047;CAMPO SPORTIVO G. SCIREA;CAMPO SPORTIVO G. SCIREA;Via Olimpia ;2233666;042023;Proprietà
EDI;IT042023000068;Magazzino piano terra;Magazzino piano terra;Via Spontini, 13;2233687;042023;Proprietà
EDI;IT042023000069;Abitazione piano primo;Abitazione piano primo;Via Spontini, 13;2233688;042023;Proprietà
EDI;IT042023000001;Sede comunale Maiolati Spontini;Sede comunale Maiolati Spontini;Largo Pastori, 1;2233620;042023;Proprietà
EDI;IT042023000002;Sede comunale Maiolati Spontini;Sede comunale Maiolati Spontini;Largo Pastori, 1;2233621;042023;Proprietà
EDI;IT042023000003;Sede comunale Maiolati Spontini;Sede comunale Maiolati Spontini;Largo Pastori, 1;2233622;042023;Proprietà
EDI;IT042023000006;Garage comunale Castelplanio;Garage comunale Castelplanio;Via dell'Industria, 17;2233625;042023;Proprietà
EDI;IT042023000009;CaffŠ letterario;CaffŠ letterario;Moie - Via Fornace;2233628;042023;Proprietà
EDI;IT042023000010;Informagiovani;Informagiovani;Moie - Via Fornace;2233629;042023;Proprietà
EDI;IT042023000011;Biblioteca piano terra;Biblioteca piano terra;Moie - Via Fornace;2233630;042023;Proprietà
EDI;IT042023000012;Gruppo solidariet…;Gruppo solidariet…;Moie - Via Fornace;2233631;042023;Proprietà
EDI;IT042023000013;Biblioteca;Biblioteca;Moie - Via Fornace;2233632;042023;Proprietà
EDI;IT042023000015;Circolo Lorenzetti;Circolo Lorenzetti;Moie - Via Macerata, 10/A;2233634;042023;Proprietà
EDI;IT042023000017;Centro comunale 6001  Ovest;Centro comunale 6001 - Ovest;Via Carducci,  29;2233636;042023;Proprietà
EDI;IT042023000018;Sede associazioni piano primo ovest;Sede associazioni piano primo ovest;Via Carducci,  29;2233637;042023;Proprietà
EDI;IT042023000019;Centro comunale 6001  Est;Centro comunale 6001  Est;Via Carducci,  29;2233638;042023;Proprietà
EDI;IT042023000020;Sede associazioni piano primo est;Sede associazioni piano primo est;Via Carducci,  29;2233639;042023;Proprietà
EDI;IT042023000021;Sede associazioni piano primo ovest ;Sede associazioni piano primo ovest ;Via Carducci,  29;2233640;042023;Proprietà
EDI;IT042023000025;Sede associazioni Moie;Sede associazioni Moie;Via Trieste, 23;2233644;042023;Proprietà
EDI;IT042023000040;Alloggio Moie;Alloggio Moie;Via Trieste, 57 ;2233659;042023;Proprietà
EDI;IT042023000043;Alloggio Maiolati Spontini;Alloggio Maiolati Spontini;Via Santa Liberata, 7A;2233662;042023;Proprietà
EDI;IT042023000046;CAMPO SPORTIVO GRANDE TORINO ;CAMPO SPORTIVO GRANDE TORINO ;Via Ascoli Piceno, 7-9;2233665;042023;Proprietà
EDI;IT042023000048;PALAZZETTO DELLO SPORT ;PALAZZETTO DELLO SPORT ;Moie - Via Torino, 5;2233667;042023;Proprietà
EDI;IT042023000049;PALESTRA SCOLASTICA ;PALESTRA SCOLASTICA ;Moie - Via Trento, 2;2233668;042023;Proprietà
